Label,Httpchk,Rank,domain_registration_length,age_domain,ssl,Having_IP,URL_Length,urlpath_length,Host_Length,Tokens,No_of_specialchar,No_of_slash,No_of_hyphen,Dots_in_url,Security_sensitive,getASN,tiny_url,Redirection_//_symbol,i_frame,links_in_tags,url_of_anchor
1,1,-1,1,0,-1,0,1,66,28,10,12,1,0,0,0,237,0,0,0,0,0
1,1,-1,-1,-1,-1,0,0,9,7,5,7,0,0,0,0,32475,0,0,0,0,1
1,1,-1,-1,-1,1,0,1,56,14,14,15,1,0,1,1,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,-1,0,1,28,21,8,11,0,0,0,0,42612,0,0,0,2,31
1,1,-1,-1,-1,0,0,0,1,19,4,6,0,0,0,0,-1,1,0,0,3,1
1,1,-1,-1,-1,1,0,1,27,32,19,24,0,2,0,2,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,-1,0,1,54,14,11,13,1,0,0,3,3,0,0,0,0,0
1,1,-1,-1,-1,1,0,1,37,20,10,11,1,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,-1,0,1,91,22,10,12,1,0,0,0,-1,0,0,0,28,2
1,0,1,-1,-1,0,0,1,29,20,7,8,0,0,0,0,20021,0,0,0,0,1
1,1,-1,-1,-1,1,0,1,47,21,11,12,1,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,47,31,20,26,0,1,0,1,-1,0,0,-1,-1,-1
1,1,0,-1,-1,0,0,0,12,19,5,7,0,0,0,0,-1,0,0,0,5,20
1,1,1,-1,-1,-1,0,1,67,12,13,14,1,0,1,1,6697,0,0,0,21,5
1,1,-1,-1,-1,1,0,0,16,20,6,7,0,0,0,0,-1,0,0,-1,-1,-1
1,0,0,-1,-1,-1,0,1,21,38,16,22,0,0,0,0,702,0,0,0,0,4
1,1,-1,-1,-1,0,0,1,40,18,15,16,1,0,0,2,-1,0,0,0,0,1
1,1,-1,-1,-1,1,0,0,17,13,7,9,1,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,-1,0,1,35,26,11,12,1,0,1,0,237,0,0,0,26,7
1,1,1,-1,-1,0,0,0,22,20,6,7,0,0,0,0,20021,0,0,0,0,1
1,1,1,1,0,-1,0,1,72,22,14,18,0,0,1,0,17225,0,0,0,0,0
1,0,1,-1,-1,-1,0,1,48,23,13,14,1,0,0,0,53889,0,0,0,53,4
1,0,0,-1,-1,-1,0,0,12,32,6,7,0,0,0,0,702,0,0,0,0,4
1,1,0,-1,-1,0,0,0,26,14,9,10,0,0,1,0,31674,0,0,0,0,0
1,1,-1,-1,-1,1,0,1,13,53,14,16,0,5,0,1,-1,0,0,-1,-1,-1
1,1,0,-1,-1,-1,0,1,23,33,16,21,0,0,0,1,702,0,0,0,0,4
1,1,-1,-1,-1,1,0,1,80,22,13,14,0,0,0,0,40034,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,22,18,7,8,0,0,0,0,-1,0,0,-1,-1,-1
1,1,0,-1,-1,-1,0,0,12,32,8,9,0,2,0,1,702,0,0,0,0,4
1,1,-1,-1,-1,-1,0,0,22,22,8,10,1,0,0,0,15967,0,0,0,0,0
1,1,-1,-1,-1,0,0,1,53,25,24,29,1,0,0,0,7162,0,0,0,0,3
1,1,-1,-1,-1,1,0,0,18,9,8,10,0,1,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,-1,0,1,53,13,7,8,0,0,0,1,46606,0,0,0,0,0
1,1,-1,1,0,0,0,0,26,14,8,9,0,0,0,1,-1,0,0,0,0,1
1,1,0,1,0,-1,0,1,20,13,13,27,0,0,0,0,-1,1,0,0,0,0
1,1,0,0,0,-1,0,1,63,18,13,15,0,0,0,0,34984,0,0,0,0,0
1,1,-1,-1,-1,1,0,0,28,11,8,9,0,0,0,0,-1,0,0,-1,-1,-1
1,0,1,-1,-1,0,0,1,1,18,7,13,0,0,0,0,-1,0,0,0,11,0
1,1,-1,-1,-1,1,0,1,46,25,14,15,0,0,0,1,-1,0,0,-1,-1,-1
1,0,-1,1,0,-1,0,1,60,23,12,13,1,0,0,0,-1,0,0,0,0,0
1,1,-1,-1,-1,1,0,0,28,17,7,10,0,0,1,0,-1,0,0,-1,-1,-1
1,1,1,-1,-1,0,0,0,16,23,7,8,0,0,0,0,7377,0,0,0,15,15
1,1,-1,-1,-1,1,0,1,54,17,11,12,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,11,9,6,8,0,0,0,0,-1,0,0,-1,-1,-1
1,0,0,-1,-1,0,0,1,36,17,11,12,0,0,0,0,-1,0,0,0,2,53
1,1,-1,-1,-1,1,0,0,24,10,7,8,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,28,17,10,11,0,1,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,28,30,8,12,0,0,0,0,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,1,45,14,10,11,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,14,25,6,7,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,9,22,6,8,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,6,17,5,7,0,1,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,51,72,17,18,0,0,1,2,-1,0,0,-1,-1,-1
1,1,0,1,-1,-1,0,1,74,15,15,16,0,0,0,0,-1,0,0,0,0,0
1,0,0,-1,-1,-1,0,1,22,29,17,22,0,1,0,2,702,0,0,0,0,4
1,1,-1,-1,-1,1,0,1,34,22,6,8,0,0,0,0,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,1,18,44,17,19,0,0,1,1,-1,0,0,-1,-1,-1
1,0,0,-1,-1,-1,0,1,21,37,18,24,0,2,0,0,702,0,0,0,0,4
1,1,0,0,-1,-1,0,1,49,34,21,23,1,0,0,0,17131,0,0,0,0,0
1,1,-1,-1,-1,1,0,1,37,22,6,8,0,0,0,0,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,1,42,22,10,11,1,0,0,0,6389,0,0,-1,-1,-1
1,0,1,-1,-1,0,0,0,7,9,5,7,0,0,0,0,-1,1,0,0,1,4
1,1,-1,-1,-1,-1,0,1,63,14,7,9,1,0,0,0,30798,0,0,0,0,0
1,1,-1,-1,-1,1,0,0,20,13,6,7,0,0,0,2,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,-1,0,1,58,25,11,12,1,1,0,0,31034,0,0,0,0,0
1,1,1,0,0,-1,0,1,65,23,11,14,1,1,0,0,39704,0,0,0,8,4750
1,1,0,-1,-1,-1,0,1,21,36,16,22,0,0,0,0,702,0,0,0,0,4
1,1,-1,-1,-1,-1,0,1,42,11,7,9,0,0,0,0,-1,0,0,0,1,1
1,0,0,-1,-1,0,0,1,64,16,20,21,0,0,1,0,35357,0,0,0,0,2
1,1,-1,-1,-1,1,0,1,0,64,8,9,0,2,1,0,-1,1,0,-1,-1,-1
1,0,-1,1,0,1,0,1,17,46,12,14,0,4,0,1,-1,1,0,-1,-1,-1
1,0,-1,-1,-1,1,0,0,0,16,4,5,0,1,0,0,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,0,7,24,5,6,0,0,0,0,-1,0,0,-1,-1,-1
1,0,-1,1,0,1,0,1,26,22,9,10,0,1,0,1,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,0,11,16,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,1,19,13,17,21,0,0,1,2,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,-1,0,0,13,21,6,7,0,0,0,0,-1,0,0,0,0,2
1,1,0,-1,-1,1,0,0,0,32,5,6,0,1,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,65,22,6,7,0,0,0,1,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,0,0,16,3,4,0,0,0,0,-1,0,0,-1,-1,-1
1,0,1,-1,-1,1,0,1,178,11,14,20,0,1,0,0,46606,0,0,-1,-1,-1
1,1,-1,-1,-1,-1,0,1,33,24,8,9,0,0,0,1,24940,0,0,0,0,1
1,0,-1,-1,-1,-1,0,0,21,24,6,7,0,0,0,0,24940,0,0,0,0,1
1,1,-1,-1,-1,1,0,0,0,11,4,5,0,1,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,0,31,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,0,32,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,0,35,5,6,0,1,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,0,42,6,7,0,2,0,0,-1,0,0,-1,-1,-1
1,1,1,-1,-1,1,0,1,51,20,10,12,0,0,1,0,2614,0,0,-1,-1,-1
1,1,0,-1,-1,1,0,0,0,17,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,0,1,1,0,1,0,0,8,10,4,5,0,0,0,0,11281,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,0,23,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,27,50,11,12,0,4,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,59,22,10,11,1,0,0,0,46606,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,5,19,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,5,19,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,1,0,-1,0,1,42,24,7,9,0,0,0,0,32392,1,0,0,0,0
1,0,-1,-1,-1,1,0,0,0,15,3,4,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,1,0,-1,0,0,29,18,8,9,0,0,0,0,46606,0,0,0,0,0
1,1,-1,-1,-1,1,0,0,5,17,5,6,0,1,0,0,-1,0,0,-1,-1,-1
1,0,-1,0,0,1,0,0,10,10,4,5,0,0,0,0,32392,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,0,64,8,9,0,2,1,0,-1,1,0,-1,-1,-1
1,1,0,-1,-1,1,0,0,0,23,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,0,16,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,0,0,24,4,5,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,13,31,11,12,0,2,1,0,55081,0,0,-1,-1,-1
1,0,1,-1,-1,-1,0,1,31,23,14,16,0,0,1,0,46606,0,0,0,0,0
1,1,-1,-1,-1,1,0,1,0,64,8,9,0,2,1,0,-1,1,0,-1,-1,-1
